ZIP,PCT_WORKING,PCT_HOUSE_OWNERS,PCT_WITH_CAR,CUSTOMER_ID,mailing_Standard tennisracket,mailing_XL original orange baseball cap,mailing_XS original red soccer shirt,GENDER,CREDITLIMIT,ZODIAC,E-MAIL ADDRESS,ORDERDATE_Max,PRICE_Sum_Sum,NUMBER OF PURCHASES
"1128XA",84,68,90,22079.000,,,,"M",8861.000,4.000,"name26679@wwmail.uk",2008-11-07,281.311,2
"1129FH",80,68,91,7652.000,,,,"F",1335.000,6.000,"name27654@zigzag.be",2010-03-27,1865.643,6
"1129FH",80,68,91,12652.000,"F","F","T","F",1335.000,11.000,"name12252@tnet.uk",2010-10-20,1767.963,4
"1129FH",80,68,91,2147.000,"F","T","T","F",1335.000,12.000,"name1185@hmail.uk",2002-04-25,474.950,1
"1129FH",80,68,91,22652.000,,,,"F",1335.000,10.000,"name29428@zigzag.jp",2009-08-16,150.776,1
"1129FH",80,68,91,27652.000,,,,"F",1335.000,3.000,"name17848@wwmail.es",2006-04-17,533.319,2
"1129HL",75,61,91,14852.000,"T","F","F","F",5343.000,3.000,"name19268@wwmail.es",2009-07-16,998.639,3
"1129HL",75,61,91,4653.000,"T","T","F","F",5343.000,6.000,"name14615@wwmail.de",2005-09-03,370.974,1
"1129HL",75,61,91,29852.000,,,,"F",5343.000,7.000,"name6201@tnet.fr",2009-02-07,357.434,1
"1129VD",76,63,87,1956.000,"F","T","F","F",4240.000,4.000,"name13682@tnet.uk",2002-05-18,1342.500,3
"1129YR",75,62,90,10999.000,"F","F","T","F",6319.000,2.000,"name21257@wwmail.inc",2009-01-24,1067.390,5
"1130AA",93,78,93,1401.000,"F","T","F","M",1988.000,9.000,"name3666@molbe.cat",2009-02-26,85.599,1
"1130AA",93,78,93,16702.000,,,,"M",1988.000,10.000,"name5861@tnet.fr",2008-06-29,926.974,3
"1130MR",88,70,89,25896.000,,,,"F",3938.000,5.000,"name1106@hmail.uk",2008-04-18,582.365,3
"1130OR",84,65,90,24520.000,,,,"F",9176.000,8.000,"name7316@tnet.fr",2010-06-03,1894.982,4
"1131AJ",94,76,89,2808.000,"F","T","F","F",6795.000,8.000,"name13577@tnet.uk",2009-06-24,1075.606,3
"1131AJ",94,76,89,18107.000,,,,"F",6795.000,9.000,"name11531@tnet.uk",2008-10-12,1203.278,3
"1131EX",79,67,87,8903.000,"F","T","F","M",8017.000,7.000,"name7693@tnet.fr",2009-01-06,622.155,2
"1131EX",79,67,87,23903.000,"F","T","F","M",8017.000,9.000,"name24821@wwmail.org",2005-03-27,316.054,1
"1131WZ",77,63,90,12973.000,"F","T","T","F",1030.000,9.000,"name18484@wwmail.es",2008-05-26,855.486,3
"1131WZ",77,63,90,7973.000,"F","T","T","F",1030.000,11.000,"name4445@tnet.jp",2009-08-14,618.548,2
"1131WZ",77,63,90,27973.000,"F","T","F","F",1030.000,1.000,"name21404@wwmail.inc",2009-12-13,1054.962,3
"1131XQ",81,66,91,28774.000,,,,"F",2349.000,10.000,"name4929@tnet.jp",2010-05-14,1069.651,4
"1132BN",74,59,90,3893.000,"T","T","F","F",8236.000,5.000,"name13430@tnet.uk",2006-04-03,88.601,1
"1132BN",74,59,90,8894.000,"T","F","F","F",8236.000,10.000,"name7691@tnet.fr",2009-09-02,1183.683,2
"1132DG",82,67,86,5925.000,"T","F","F","M",5223.000,3.000,"name11062@tnet.inc",2007-12-09,130.050,1
"1132DG",82,67,86,20925.000,,,,"M",5223.000,4.000,"name2558@molbe.cat",2005-12-09,647.166,1
"1132DG",82,67,86,724.000,"F","T","F","M",5223.000,3.000,"name25485@wwmail.org",1999-07-11,306.480,1
"1132JG",80,65,88,3718.000,"F","T","F","F",4757.000,5.000,"name5726tnet.jp",2003-11-29,524.260,2
"1132JG",80,65,88,14220.000,,,,"F",4757.000,12.000,"name17375@wwmail.de",2010-08-18,1474.729,6
"1132JG",80,65,88,24220.000,,,,"F",4757.000,3.000,"name25221@wwmail.org",2006-04-12,215.705,2
"1132NB",71,58,88,9849.000,,,,"M",4661.000,9.000,"name12599@tnet.uk",2007-07-09,480.794,2
"1132NB",71,58,88,14849.000,,,,"M",4661.000,7.000,"name24208@wwmail.org",2010-04-04,315.815,1
"1132NF",76,60,93,15503.000,"F","T","T","M",4973.000,7.000,"name862@hmail.uk",2008-09-08,291.632,2
"1132PS",73,58,90,17190.000,,,,"F",75.000,11.000,"name25231@wwmail.org",2010-08-18,1541.332,3
"1132PS",73,58,90,27190.000,,,,"F",75.000,2.000,"name17943@wwmail.es",2010-08-25,1678.097,3
"1132SS",81,63,88,986.000,"F","T","T","F",702.000,11.000,"name10048@tnet.inc",2009-12-15,727.869,2
"1132SS",81,63,88,21087.000,,,,"F",702.000,12.000,"name14388@tnet.uk",2010-07-26,1196.600,3
"1133DE",81,65,90,29564.000,"T","F","T","M",9516.000,3.000,"name20531@wwmail.es",2008-12-05,345.266,2
"1133DK",77,62,92,20284.000,,,,"M",9112.000,2.000,"name1954@lomejor.es",2008-05-19,559.417,2
"1133DK",77,62,92,5321.000,"F","T","F","M",9112.000,10.000,"name24569@wwmail.org",2002-10-17,1258.350,2
"1133FK",79,65,91,19731.000,"F","F","T","F",6060.000,10.000,"name17146@wwmail.de",2009-07-16,382.671,1
"1133FK",79,65,91,14731.000,,,,"F",6060.000,3.000,"name12008@tnet.uk",2009-01-23,631.156,3
"1133LM",75,62,89,22266.000,,,,"M",6870.000,6.000,"name14443@wwmail.de",2009-08-02,958.716,3
"1133QZ",78,60,91,4100.000,"F","T","T","M",9082.000,9.000,"name21442@wwmail.inc",2000-10-02,1007.110,1
"1133QZ",78,60,91,19101.000,,,,"M",9082.000,4.000,"name241@hmail.inc",2007-10-01,115.175,1
"1134NZ",74,58,94,14143.000,"T","T","F","F",421.000,10.000,"name10569@tnet.inc",2008-10-14,251.626,1
"1134NZ",74,58,94,3641.000,"F","T","F","F",421.000,4.000,"name2114@lomejor.es",2010-09-29,312.238,1
"1134NZ",74,58,94,24143.000,"F","T","T","F",421.000,8.000,"name19790@wwmail.es",2009-02-19,256.832,2
"1135DG",78,64,90,9459.000,,,,"M",3812.000,7.000,"name3041@molbe.cat",2005-06-12,494.069,1
"1135DG",78,64,90,29459.000,,,,"M",3812.000,6.000,"name20566@wwmail.es",2007-12-01,578.867,2
"1135NJ",78,62,89,18680.000,"F","F","T","M",3957.000,7.000,"name16726@wwmail.de",2008-05-12,442.843,2
"1135NJ",78,62,89,28680.000,,,,"M",3957.000,9.000,"name15477@wwmail.de",2009-11-06,696.874,3
"1135RI",70,56,89,12115.000,,,,"M",2838.000,7.000,"name10820@tnet.inc",2010-07-27,807.969,3
"1135XX",81,67,89,12488.000,"F","T","F","F",3890.000,8.000,"name27485@zigzag.be",2007-03-11,1545.178,4
"1135YI",80,65,88,2441.000,"F","T","T","M",2678.000,12.000,"name20098@wwmail.es",2000-03-01,315.800,1
"1135YI",80,65,88,12443.000,"T","T","F","M",2678.000,8.000,"name7822@tnet.fr",2009-09-09,349.524,1
"1136NM",79,65,90,19407.000,,,,"M",2634.000,5.000,"name15171@wwmail.de",2005-02-10,119.976,1
"1136NM",79,65,90,9407.000,,,,"M",2634.000,2.000,"name1996@lomejor.es",2010-10-06,1136.178,3
"1136NM",79,65,90,24407.000,,,,"M",2634.000,8.000,"name21681@wwmail.inc",2008-07-07,1251.811,2
"1136PI",82,68,89,27497.000,,,,"M",8296.000,10.000,"name3226@molbe.cat",2009-03-30,551.274,3
"1136QQ",81,65,89,3720.000,"T","T","F","F",359.000,4.000,"name19866@wwmail.es",2004-06-01,89.280,1
"1136QQ",81,65,89,29222.000,,,,"F",359.000,6.000,"name25795@wwmail.uk",2008-10-29,883.715,2
"1136QQ",81,65,89,24222.000,,,,"F",359.000,2.000,"name19819@wwmail.es",2010-09-30,968.987,3
"1136XZ",84,67,93,3109.000,"F","T","T","M",4715.000,8.000,"name22018@wwmail.inc",2000-12-08,1788.770,2
"1136XZ",84,67,93,18310.000,,,,"M",4715.000,12.000,"name10543@tnet.inc",2007-10-18,176.576,1
"1137BN",83,67,90,10718.000,"T","T","F","M",4737.000,10.000,"name26918@wwmail.uk",2009-10-18,1592.964,6
"1137BN",83,67,90,25718.000,"F","T","F","M",4737.000,8.000,"name10266@tnet.inc",2009-07-12,225.782,2
"1137EM",86,71,90,6522.000,"T","F","T","F",7051.000,9.000,"name22449@wwmail.inc",2010-11-17,461.927,2
"1137EM",86,71,90,21522.000,,,,"F",7051.000,4.000,"name4413@tnet.jp",2008-04-11,107.939,2
"1137FN",81,66,93,10318.000,"F","T","F","M",2726.000,5.000,"name26650@wwmail.uk",2010-10-02,988.595,3
"1137FN",81,66,93,20318.000,"F","T","F","M",2726.000,6.000,"name16218@wwmail.de",2009-04-21,568.693,2
"1137GC",78,67,88,13510.000,,,,"F",676.000,7.000,"name5211@tnet.jp",2007-02-15,325.063,2
"1137GC",78,67,88,23510.000,,,,"F",676.000,12.000,"name3931@tnet.jp",2007-10-20,760.384,2
"1137KS",68,50,90,8097.000,,,,"M",6121.000,9.000,"name26617@wwmail.uk",2007-07-15,799.116,1
"1137KS",68,50,90,2798.000,"F","T","F","M",6121.000,11.000,"name2462@molbe.cat",2010-01-12,578.920,3
"1137XZ",79,65,91,17697.000,"F","F","T","M",3675.000,6.000,"name5122@tnet.jp",2009-12-14,224.442,2
"1137XZ",79,65,91,27697.000,"T","F","F","M",3675.000,10.000,"name26735@wwmail.uk",2010-01-05,239.108,2
"1138FD",83,70,92,30705.000,"T","F","F","F",4732.000,12.000,"name3815@tnet.jp",2008-08-03,409.614,2
"1138FD",83,70,92,25705.000,,,,"F",4732.000,5.000,"name7760@tnet.fr",2010-06-30,1825.940,6
"1138HJ",84,68,91,2592.000,"F","T","F","M",5964.000,6.000,"name14817@wwmail.de",2003-04-12,1487.290,2
"1138HJ",84,68,91,22594.000,,,,"M",5964.000,9.000,"name14242@tnet.uk",2005-03-18,315.673,1
"1138KF",80,66,94,28861.000,"T","F","F","F",4773.000,5.000,"name21775@wwmail.inc",2005-04-25,177.779,1
"1138KF",80,66,94,23861.000,,,,"F",4773.000,6.000,"name26287@wwmail.uk",2008-12-10,677.374,2
"1138OF",84,67,94,2402.000,"F","T","F","F",5926.000,8.000,"name7251@tnet.fr",2009-09-18,783.887,2
"1138OF",84,67,94,12404.000,,,,"F",5926.000,7.000,"name17279@wwmail.de",2009-09-28,376.792,2
"1138OF",84,67,94,17404.000,,,,"F",5926.000,2.000,"name8520@tnet.inc",2007-04-23,872.703,2
"1138OF",84,67,94,7404.000,"T","F","T","F",5926.000,2.000,"name29969@zigzag.inc",2006-08-28,222.662,1
"1138OF",84,67,94,27404.000,,,,"F",5926.000,5.000,"name8732@tnet.inc",2010-04-20,766.400,3
"1138SC",79,62,89,14766.000,,,,"M",110.000,11.000,"name21856@wwmail.inc",2008-06-28,505.341,2
"1138SC",79,62,89,19766.000,,,,"M",110.000,6.000,"name4798@tnet.jp",2010-01-04,751.302,2
"1138SC",79,62,89,9766.000,,,,"M",110.000,6.000,"name26318@wwmail.uk",2010-08-06,876.760,3
"1138TJ",76,58,87,25199.000,"F","F","T","M",4631.000,10.000,"name13977@tnet.uk",2010-10-27,1139.629,2
"1138XC",80,66,89,15694.000,,,,"F",537.000,8.000,"name22815@wwmail.inc",2006-06-15,875.115,3
"1138XC",80,66,89,5213.000,"F","T","F","F",537.000,4.000,"name6522@tnet.fr",2007-03-26,746.825,3
"1138XC",80,66,89,25694.000,,,,"F",537.000,4.000,"name24730@wwmail.org",2010-04-06,732.775,3
"1139EV",76,62,94,18598.000,"F","T","F","F",8203.000,4.000,"name21256@wwmail.inc",2009-05-17,1049.364,5
"1139EV",76,62,94,23598.000,"F","T","T","F",8203.000,9.000,"name22203@wwmail.inc",2007-12-19,1146.756,3
"1139GG",76,63,94,28881.000,,,,"F",4109.000,6.000,"name1061@hmail.uk",2010-04-03,1125.807,3
"1139JE",75,61,91,7630.000,"T","F","F","F",6770.000,7.000,"name27663@zigzag.be",2005-03-14,49.910,1
"1139JE",75,61,91,12630.000,,,,"F",6770.000,4.000,"name9927@tnet.inc",2008-11-17,586.766,3
"1139LY",79,65,94,7196.000,"F","F","T","F",123.000,12.000,"name20703@wwmail.inc",2010-03-12,274.521,3
"1139LY",79,65,94,17196.000,"T","F","F","F",123.000,2.000,"name27808@zigzag.be",2009-04-17,558.445,2
"1139TH",89,73,90,25115.000,"F","F","T","F",9585.000,9.000,"name13985@tnet.uk",2009-11-27,821.594,2
"1139VM",82,68,93,27135.000,,,,"F",6570.000,4.000,"name17953@wwmail.es",2009-01-07,446.572,4
"1139WG",81,70,91,25114.000,"T","F","T","F",3851.000,4.000,"name9695@tnet.inc",2007-10-23,311.956,3
"1139XA",78,65,91,1931.000,"F","T","F","F",2038.000,7.000,"name14437@wwmail.de",2009-10-29,480.530,3
"1139XA",78,65,91,26931.000,"F","F","T","F",2038.000,9.000,"name5994@tnet.fr",2009-05-14,1483.595,5
"1140OW",84,70,92,5363.000,"F","T","F","F",7089.000,9.000,"name21308@wwmail.inc",2002-01-17,818.730,1
"1140RY",78,65,88,6088.000,"F","T","F","F",8071.000,4.000,"name326@hmail.inc",2009-10-04,770.584,3
"1140RY",78,65,88,16088.000,"F","T","F","F",8071.000,2.000,"name4609@tnet.jp",2010-09-15,252.494,3
"1140RY",78,65,88,21088.000,"F","T","F","F",8071.000,8.000,"name27982@zigzag.be",2005-03-30,320.159,1
"1140VR",76,63,95,16660.000,,,,"F",6500.000,9.000,"name1049@hmail.uk",2010-11-06,862.122,3
"1140XQ",81,68,90,8739.000,"F","F","T","F",8076.000,1.000,"name12750@tnet.uk",2009-11-11,1343.043,3
"1141QA",66,52,91,14398.000,"F","T","F","F",8321.000,11.000,"name1872@lomejor.es",2010-01-07,1213.494,3
"1141QA",66,52,91,9398.000,"F","T","F","F",8321.000,6.000,"name12666@tnet.uk",2008-10-05,192.603,1
"1141SG",81,65,90,28242.000,"F","F","T","F",314.000,3.000,"name15713@wwmail.de",2009-12-12,506.105,2
"1141SS",79,64,92,29478.000,"F","T","F","F",592.000,9.000,"name6383@tnet.fr",2006-04-17,618.139,3
"1142GK",80,65,89,14694.000,,,,"F",2520.000,11.000,"name3986tnet.jp",2010-09-19,307.465,3
"1142GK",80,65,89,19694.000,,,,"F",2520.000,3.000,"name11029@tnet.inc",2005-06-02,618.264,1
"1142GK",80,65,89,29694.000,,,,"F",2520.000,1.000,"name6283@tnet.fr",2007-08-29,771.528,3
"1142NU",87,74,89,22323.000,"T","T","F","M",693.000,6.000,"name3541@molbe.cat",2010-01-14,1303.472,4
"1142NU",87,74,89,2321.000,"F","T","F","M",693.000,8.000,"name27247@zigzag.be",2009-09-18,556.179,2
"1142NU",87,74,89,27323.000,"F","T","F","M",693.000,5.000,"name617@hmail.uk",2007-06-01,614.899,2
"1142SL",76,62,93,5613.000,"F","T","F","F",9333.000,6.000,"name4044@tnet.jp",2010-04-10,769.244,3
"1142SL",76,62,93,10576.000,"T","F","T","F",9333.000,10.000,"name12507@tnet.uk",2008-01-26,367.313,1
"1142SL",76,62,93,15576.000,,,,"F",9333.000,4.000,"name24985@wwmail.org",2008-09-18,257.886,1
"1142SS",76,64,91,17001.000,"T","F","F","F",8697.000,6.000,"name1518@lomejor.es",2010-09-22,382.314,3
"1142SS",76,64,91,2001.000,"F","T","T","F",8697.000,5.000,"name22656@wwmail.inc",2009-07-09,976.043,2
"1142SS",76,64,91,27001.000,,,,"F",8697.000,7.000,"name21049@wwmail.inc",2010-11-24,907.269,3
"1143KN",80,65,93,19608.000,"T","T","F","M",1438.000,2.000,"name3111@molbe.cat",2008-01-04,291.980,1
"1143KN",80,65,93,9608.000,"F","T","T","M",1438.000,11.000,"name23833@wwmail.org",2007-01-14,239.522,1
"1144EO",88,70,89,2189.000,"F","T","F","M",3800.000,6.000,"name714@hmail.uk",2003-01-08,1295.000,2
"1144EO",88,70,89,7694.000,,,,"M",3800.000,4.000,"name23168@wwmail.inc",2010-01-18,995.411,2
"1144KL",82,66,91,22636.000,"T","F","F","F",8604.000,1.000,"name769@hmail.uk",2008-11-02,88.191,1
"1144NZ",84,71,86,8544.000,,,,"M",3138.000,8.000,"name28153@zigzag.be",2009-11-05,2564.367,6
"1144NZ",84,71,86,4144.000,"F","T","F","M",3138.000,9.000,"name9481@tnet.inc",2009-08-18,1062.104,6
"1144NZ",84,71,86,28544.000,"T","F","T","M",3138.000,6.000,"name17707@wwmail.es",2007-08-05,217.853,2
"1145AA",83,66,90,3583.000,"F","T","F","F",1046.000,2.000,"name13469@tnet.uk",1999-12-31,1226.040,2
"1145AA",83,66,90,13685.000,,,,"F",1046.000,9.000,"name8347@tnet.inc",2006-05-08,369.352,2
"1145AA",83,66,90,28685.000,,,,"F",1046.000,7.000,"name12430@tnet.uk",2010-01-04,604.617,1
"1145JU",74,58,91,22641.000,"T","F","T","M",1852.000,7.000,"name18481@wwmail.es",2009-01-10,258.259,1
"1145NW",90,74,87,19305.000,,,,"M",7635.000,2.000,"name26988wwmail.uk",2008-06-29,113.210,1
"1145NW",90,74,87,9305.000,,,,"M",7635.000,3.000,"name12678@tnet.uk",2010-12-08,787.995,3
"1145NW",90,74,87,29305.000,,,,"M",7635.000,5.000,"name29513@zigzag.com",2009-09-09,801.447,3
"1145NW",90,74,87,24305.000,,,,"M",7635.000,9.000,"name19850@wwmail.es",2008-05-26,254.299,2
"1145YE",77,62,90,21657.000,,,,"M",9992.000,5.000,"name3068@molbe.cat",2006-06-09,470.013,1
"1146AG",82,67,88,25013.000,"F","T","F","M",5021.000,8.000,"name24047@wwmail.org",2008-12-13,2211.125,6
"1146KN",74,57,89,3317.000,"F","T","F","M",863.000,4.000,"name29579@zigzag.com",2001-06-30,1177.260,1
"1146KN",74,57,89,27817.000,"F","F","T","M",863.000,10.000,"name25008@wwmail.org",2006-08-08,174.952,1
"1146KN",74,57,89,22817.000,,,,"M",863.000,2.000,"name22822@wwmail.inc",2006-03-18,156.788,1
"1146MQ",79,62,89,7165.000,"T","F","T","F",2977.000,4.000,"name19104@wwmail.es",2005-02-23,512.871,1
"1146RM",84,70,88,21552.000,,,,"F",5893.000,4.000,"name27560@zigzag.be",2005-01-09,327.625,1
"1146RV",91,74,88,1743.000,"F","T","F","M",5578.000,12.000,"name13714@tnet.uk",2003-04-24,80.160,1
"1146RV",91,74,88,26240.000,,,,"M",5578.000,2.000,"name29539@zigzag.com",2010-06-24,237.120,1
"1146SF",84,70,87,3124.000,"F","T","F","F",7757.000,7.000,"name6842@tnet.fr",2001-10-01,257.390,1
"1146XG",81,67,89,24342.000,,,,"F",3677.000,11.000,"name19858@wwmail.es",2010-08-25,1281.457,6
"1146ZZ",84,71,91,27693.000,"T","T","T","F",952.000,8.000,"name26725@wwmail.uk",2007-12-10,863.178,2
"1147KI",87,71,89,22075.000,,,,"M",6938.000,6.000,"name14298@tnet.uk",2008-09-07,854.607,2
"1147KI",87,71,89,12075.000,,,,"M",6938.000,9.000,"name12320@tnet.uk",2010-05-02,1205.802,3
"1147KI",87,71,89,7075.000,"F","F","T","M",6938.000,10.000,"name25980@wwmail.uk",2010-03-05,396.924,1
"1147OO",88,73,89,7539.000,,,,"F",2198.000,4.000,"name7285@tnet.fr",2010-08-09,1232.490,3
"1147TF",77,63,91,27755.000,,,,"F",9683.000,4.000,"name15949@wwmail.de",2009-08-05,372.978,2
"1148AW",80,66,91,16585.000,,,,"M",3723.000,11.000,"name10091@tnet.inc",2010-02-15,433.593,3
"1148AW",80,66,91,26585.000,"F","F","T","M",3723.000,5.000,"name20868@wwmail.inc",2005-01-13,155.179,1
"1148KC",72,56,95,3192.000,"F","T","F","M",5123.000,3.000,"name6500@tnet.fr",1999-01-01,146.870,1
"1148WO",73,56,88,22299.000,,,,"F",7746.000,1.000,"name24323@wwmail.org",2010-01-12,2956.947,6
"1149JN",70,52,91,21674.000,,,,"M",1751.000,7.000,"name3090@molbe.cat",2010-07-04,266.180,3
"1149JN",70,52,91,11674.000,,,,"M",1751.000,8.000,"name723@hmail.uk",2009-09-24,775.478,3
"1149LO",82,63,91,7386.000,"T","F","F","M",9716.000,7.000,"name26961@wwmail.uk",2010-10-26,1015.348,3
"1149LO",82,63,91,12386.000,,,,"M",9716.000,4.000,"name12284@tnet.uk",2010-02-19,1039.213,2
"1149LO",82,63,91,27386.000,,,,"M",9716.000,4.000,"name21207@wwmail.inc",2008-08-27,755.639,2
"1149RL",76,58,88,7142.000,,,,"F",5050.000,2.000,"name1206@hmail.uk",2006-10-23,813.791,2
"1149RL",76,58,88,22142.000,,,,"F",5050.000,12.000,"name8581@tnet.inc",2010-06-06,162.312,2
"1149RL",76,58,88,17142.000,"F","F","T","F",5050.000,9.000,"name11678@tnet.uk",2009-02-07,94.730,1
"1149TY",72,61,90,7868.000,"F","T","F","M",3326.000,12.000,"name12859@tnet.uk",2010-02-11,859.777,3
"1149TY",72,61,90,17868.000,"T","T","F","M",3326.000,10.000,"name25413@wwmail.org",2010-07-12,1863.757,4
"1149WE",79,65,88,10218.000,"F","T","F","F",3558.000,8.000,"name3492@molbe.cat",2010-11-18,398.361,1
"1149WE",79,65,88,30218.000,"F","T","F","F",3558.000,8.000,"name14664@wwmail.de",2008-09-22,231.776,1
"1149ZP",83,68,93,6283.000,"F","T","T","F",22.000,6.000,"name28311@zigzag.be",2009-03-27,276.574,2
"1149ZP",83,68,93,26283.000,"F","T","F","F",22.000,4.000,"name28227@zigzag.be",2010-08-30,1446.755,5
"1150CU",74,58,91,21842.000,,,,"F",9470.000,2.000,"name2249@lomejor.es",2006-07-19,221.052,2
"1150CU",74,58,91,26842.000,"T","F","F","F",9470.000,12.000,"name25114@wwmail.org",2006-06-10,484.292,1
"1150HN",83,70,91,22306.000,,,,"M",1590.000,9.000,"name4224@tnet.jp",2007-02-12,556.560,2
"1150HN",83,70,91,2304.000,"F","T","F","M",1590.000,4.000,"name2603@molbe.cat",2007-01-03,322.219,2
"1150HN",83,70,91,12306.000,"T","F","F","M",1590.000,6.000,"name15156@wwmail.de",2010-12-08,764.484,2
"1150IV",81,67,90,16924.000,,,,"M",2200.000,11.000,"name17464@wwmail.de",2007-02-03,641.880,2
"1150IV",81,67,90,26924.000,,,,"M",2200.000,3.000,"name1433@lomejor.es",2010-09-26,757.631,2
"1150QP",78,61,92,15012.000,,,,"F",2494.000,10.000,"name7665@tnet.fr",2006-01-29,338.239,3
"1151EI",75,55,92,8707.000,,,,"M",2755.000,4.000,"name7639@tnet.fr",2009-10-05,535.848,2
"1151EI",75,55,92,23707.000,,,,"M",2755.000,6.000,"name350@hmail.inc",2010-03-27,291.558,3
"1151FU",79,62,90,27531.000,,,,"M",3226.000,11.000,"name16060@wwmail.de",2008-03-13,1308.271,3
"1151IY",83,67,89,1903.000,"F","T","F","F",5727.000,2.000,"name28832@zigzag.cat",2001-09-18,770.730,1
"1151IY",83,67,89,11400.000,,,,"F",5727.000,6.000,"name28985@zigzag.cat",2007-08-02,710.358,3
"1151JP",82,67,88,11567.000,"T","F","F","F",644.000,4.000,"name26412@wwmail.uk",2010-02-08,589.096,2
"1151JP",82,67,88,6567.000,"T","F","F","F",644.000,2.000,"name3589@molbe.cat",2008-12-27,670.130,2
"1151QW",75,58,94,16242.000,,,,"F",389.000,9.000,"name16336@wwmail.de",2009-06-27,1861.837,5
"1151QW",75,58,94,26242.000,,,,"F",389.000,2.000,"name13868@tnet.uk",2008-05-06,563.623,2
"1151TI",83,67,86,14955.000,,,,"F",5574.000,6.000,"name20990@wwmail.inc",2010-01-23,259.304,2
"1151TI",83,67,86,29955.000,,,,"F",5574.000,2.000,"name14795@wwmail.de",2006-08-25,135.985,1
"1151TI",83,67,86,24955.000,,,,"F",5574.000,5.000,"name8195@tnet.fr",2008-02-02,145.585,1
"1152QJ",73,58,92,26536.000,,,,"F",3072.000,4.000,"name16565@wwmail.de",2009-11-01,644.195,2
"1152QT",78,61,90,8365.000,,,,"F",2542.000,10.000,"name9573@tnet.inc",2008-01-20,32.863,1
"1152SG",76,61,90,19341.000,,,,"M",175.000,4.000,"name26965@wwmail.uk",2010-11-26,1485.791,3
"1153AZ",81,66,92,3559.000,"F","T","T","F",1508.000,8.000,"name15444@wwmail.de",2002-07-02,169.600,1
"1153AZ",81,66,92,18661.000,"T","F","F","F",1508.000,4.000,"name9335@tnet.inc",2010-02-08,844.449,5
"1153AZ",81,66,92,8661.000,,,,"F",1508.000,10.000,"name19675@wwmail.es",2009-11-10,1037.872,2
"1153GM",77,61,89,22615.000,"F","F","T","F",2373.000,6.000,"name8286@tnet.inc",2007-04-17,295.000,1
"1153JG",80,65,91,10455.000,,,,"F",567.000,10.000,"name4832@tnet.jp",2009-09-29,151.979,1
"1153RA",75,62,90,16699.000,,,,"F",3024.000,10.000,"name27593@zigzag.be",2009-12-11,1373.961,5
"1153RA",75,62,90,11699.000,"T","F","F","F",3024.000,12.000,"name12369@tnet.uk",2010-06-02,556.040,2
"1153VE",79,65,90,6344.000,"T","F","F","M",282.000,7.000,"name3720@molbe.cat",2010-01-07,323.135,1
"1153XP",81,64,91,9763.000,"F","T","F","M",4282.000,9.000,"name12610@tnet.uk",2009-11-19,810.584,3
"1153XP",81,64,91,19763.000,"F","T","F","M",4282.000,3.000,"name19454@wwmail.es",2010-06-23,1313.276,3
"1153ZR",79,62,93,21419.000,"T","F","F","M",4832.000,6.000,"name9304@tnet.inc",2008-04-02,1009.184,2
"1153ZR",79,62,93,1922.000,"F","T","T","M",4832.000,5.000,"name9196@tnet.inc",2002-11-27,1722.520,2
"1153ZR",79,62,93,16419.000,,,,"M",4832.000,3.000,"name89@hmail.fr",2009-08-08,1126.936,3
"1153ZR",79,62,93,26419.000,,,,"M",4832.000,3.000,"name18083@wwmail.es",2010-02-10,1150.889,3
"1154IY",83,68,90,7078.000,"F","T","F","F",243.000,3.000,"name7136tnet.fr",2009-03-17,457.582,1
"1154IY",83,68,90,27078.000,"F","T","F","F",243.000,9.000,"name17965@wwmail.es",2009-02-25,60.917,1
"1154KT",85,72,90,12015.000,,,,"M",6757.000,7.000,"name1208@hmail.uk",2010-09-22,1706.054,5
"1154KT",85,72,90,26389.000,,,,"F",14.000,11.000,"name23354@wwmail.inc",2010-02-21,1449.941,3
"1154SR",80,68,90,15816.000,"F","F","T","F",6973.000,6.000,"name11855@tnet.uk",2009-03-07,130.939,1
"1154TB",80,66,86,16855.000,,,,"F",3768.000,5.000,"name11716@tnet.uk",2007-01-11,916.632,3
"1154TB",80,66,86,1654.000,"T","T","F","F",3768.000,1.000,"name28328@zigzag.be",2009-01-08,612.520,3
"1155BC",87,73,93,23843.000,"T","T","F","F",6856.000,4.000,"name78@hmail.de",2005-07-14,86.330,1
"1155CN",79,61,90,8789.000,,,,"M",8439.000,11.000,"name26962@wwmail.uk",2010-09-12,1017.403,2
"1155DM",81,66,90,13967.000,"F","F","T","M",7608.000,11.000,"name29600@zigzag.com",2008-04-01,442.665,1
"1155DM",81,66,90,18967.000,"T","F","T","M",7608.000,12.000,"name2963@molbe.cat",2006-08-15,425.846,1
"1155JY",84,71,93,14658.000,"F","T","F","M",7627.000,2.000,"name24528@wwmail.org",2009-12-05,521.231,2
"1155JY",84,71,93,29658.000,"F","T","F","M",7627.000,11.000,"name9041@tnet.inc",2005-11-25,697.590,3
"1155JY",84,71,93,24658.000,"F","T","F","M",7627.000,8.000,"name15219@wwmail.de",2009-10-07,1136.961,3
"1155QR",77,68,91,15101.000,"F","F","T","F",4664.000,2.000,"name944@hmail.uk",2007-10-03,537.567,2
"1155WG",76,63,88,967.000,"F","T","F","M",7284.000,7.000,"name2882@molbe.cat",2005-07-19,259.987,1
